Campaign,Ad Group,Final URL,Description,Headline 1,Headline 2
SEM_Courses,Intro to Python for Data Science,https://www.datacamp.com/courses/intro-to-python-for-data-science,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Intro to Python for Data,Science
SEM_Courses,Intro to Python for Data Science,https://www.datacamp.com/courses/intro-to-python-for-data-science,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Intro to Python for Data,Science
SEM_Courses,Intro to Python for Data Science,https://www.datacamp.com/courses/intro-to-python-for-data-science,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Intro to Python for Data,Science
SEM_Courses,Introduction to R,https://www.datacamp.com/courses/free-introduction-to-r,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Introduction to R,Boost Your Data Science Career
SEM_Courses,Introduction to R,https://www.datacamp.com/courses/free-introduction-to-r,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Introduction to R,Stand Out From the Crowd
SEM_Courses,Introduction to R,https://www.datacamp.com/courses/free-introduction-to-r,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Introduction to R,Tackle Complex Questions
SEM_Courses,Intermediate Python for Data Science,https://www.datacamp.com/courses/intermediate-python-for-data-science,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Intermediate Python for Data,Science
SEM_Courses,Intermediate Python for Data Science,https://www.datacamp.com/courses/intermediate-python-for-data-science,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Intermediate Python for Data,Science
SEM_Courses,Intermediate Python for Data Science,https://www.datacamp.com/courses/intermediate-python-for-data-science,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Intermediate Python for Data,Science
SEM_Courses,Intro to SQL for Data Science,https://www.datacamp.com/courses/intro-to-sql-for-data-science,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Intro to SQL for Data Science,Boost Your Data Science Career
SEM_Courses,Intro to SQL for Data Science,https://www.datacamp.com/courses/intro-to-sql-for-data-science,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Intro to SQL for Data Science,Stand Out From the Crowd
SEM_Courses,Intro to SQL for Data Science,https://www.datacamp.com/courses/intro-to-sql-for-data-science,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Intro to SQL for Data Science,Tackle Complex Questions
SEM_Courses,Intermediate R,https://www.datacamp.com/courses/intermediate-r,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Intermediate R,Boost Your Data Science Career
SEM_Courses,Intermediate R,https://www.datacamp.com/courses/intermediate-r,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Intermediate R,Stand Out From the Crowd
SEM_Courses,Intermediate R,https://www.datacamp.com/courses/intermediate-r,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Intermediate R,Tackle Complex Questions
SEM_Courses,Introduction to Git for Data Science,https://www.datacamp.com/courses/introduction-to-git-for-data-science,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Introduction to Git for Data,Science
SEM_Courses,Introduction to Git for Data Science,https://www.datacamp.com/courses/introduction-to-git-for-data-science,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Introduction to Git for Data,Science
SEM_Courses,Introduction to Git for Data Science,https://www.datacamp.com/courses/introduction-to-git-for-data-science,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Introduction to Git for Data,Science
SEM_Courses,Supervised Learning with scikit-learn,https://www.datacamp.com/courses/supervised-learning-with-scikit-learn,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Supervised Learning with,scikit-learn
SEM_Courses,Supervised Learning with scikit-learn,https://www.datacamp.com/courses/supervised-learning-with-scikit-learn,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Supervised Learning with,scikit-learn
SEM_Courses,Supervised Learning with scikit-learn,https://www.datacamp.com/courses/supervised-learning-with-scikit-learn,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Supervised Learning with,scikit-learn
SEM_Courses,Deep Learning in Python,https://www.datacamp.com/courses/deep-learning-in-python,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Deep Learning in Python,Boost Your Data Science Career
SEM_Courses,Deep Learning in Python,https://www.datacamp.com/courses/deep-learning-in-python,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Deep Learning in Python,Stand Out From the Crowd
SEM_Courses,Deep Learning in Python,https://www.datacamp.com/courses/deep-learning-in-python,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Deep Learning in Python,Tackle Complex Questions
SEM_Courses,Python Data Science Toolbox,https://www.datacamp.com/courses/python-data-science-toolbox-part-1,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Python Data Science Toolbox,Boost Your Data Science Career
SEM_Courses,Python Data Science Toolbox,https://www.datacamp.com/courses/python-data-science-toolbox-part-1,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Python Data Science Toolbox,Stand Out From the Crowd
SEM_Courses,Python Data Science Toolbox,https://www.datacamp.com/courses/python-data-science-toolbox-part-1,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Python Data Science Toolbox,Tackle Complex Questions
SEM_Courses,pandas Foundations,https://www.datacamp.com/courses/pandas-foundations,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,pandas Foundations,Boost Your Data Science Career
SEM_Courses,pandas Foundations,https://www.datacamp.com/courses/pandas-foundations,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",pandas Foundations,Stand Out From the Crowd
SEM_Courses,pandas Foundations,https://www.datacamp.com/courses/pandas-foundations,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,pandas Foundations,Tackle Complex Questions
SEM_Courses,Data Visualization with ggplot2,https://www.datacamp.com/courses/data-visualization-with-ggplot2-1,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Data Visualization with,ggplot2
SEM_Courses,Data Visualization with ggplot2,https://www.datacamp.com/courses/data-visualization-with-ggplot2-1,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Data Visualization with,ggplot2
SEM_Courses,Data Visualization with ggplot2,https://www.datacamp.com/courses/data-visualization-with-ggplot2-1,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Data Visualization with,ggplot2
SEM_Courses,Introduction to Shell for Data Science,https://www.datacamp.com/courses/introduction-to-shell-for-data-science,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Introduction to Shell for,Data Science
SEM_Courses,Introduction to Shell for Data Science,https://www.datacamp.com/courses/introduction-to-shell-for-data-science,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Introduction to Shell for,Data Science
SEM_Courses,Introduction to Shell for Data Science,https://www.datacamp.com/courses/introduction-to-shell-for-data-science,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Introduction to Shell for,Data Science
SEM_Courses,Importing Data in Python,https://www.datacamp.com/courses/importing-data-in-python-part-1,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Importing Data in Python,Boost Your Data Science Career
SEM_Courses,Importing Data in Python,https://www.datacamp.com/courses/importing-data-in-python-part-1,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Importing Data in Python,Stand Out From the Crowd
SEM_Courses,Importing Data in Python,https://www.datacamp.com/courses/importing-data-in-python-part-1,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Importing Data in Python,Tackle Complex Questions
SEM_Courses,Cleaning Data in R,https://www.datacamp.com/courses/cleaning-data-in-r,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Cleaning Data in R,Boost Your Data Science Career
SEM_Courses,Cleaning Data in R,https://www.datacamp.com/courses/cleaning-data-in-r,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Cleaning Data in R,Stand Out From the Crowd
SEM_Courses,Cleaning Data in R,https://www.datacamp.com/courses/cleaning-data-in-r,Choose From a Wide Variety of Topics Tuaght by the Best in the World. Start Now,Cleaning Data in R,Tackle Complex Questions
SEM_Courses,Python Data Science Toolbox,https://www.datacamp.com/courses/python-data-science-toolbox-part-2,Learn Directly From the Top Experts in the Field. 20% off Annual Subcriptions,Python Data Science Toolbox,Boost Your Data Science Career
SEM_Courses,Python Data Science Toolbox,https://www.datacamp.com/courses/python-data-science-toolbox-part-2,"Be Ahead of the Curve, Master Data Science Skills. $29 / Month. Cancel Anytime",Python Data Science Toolbox,Stand Out From the Crowd
